S.No.,Country,Values in Rs. Lacs,Quntity in thousands,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,2023-2024,2024-2025(Apr-Nov),%Growth,2023-2024,2024-2025(Apr-Nov),%Growth
1,U ARAB EMTS,3478373.46,1796633.44,,69.84,28.59,
2,HONG KONG,417234.72,111116.19,,8.13,1.88,
3,SINGAPORE,370380.9,222454.07,,7.73,3.72,
4,U S A,155145.49,116130.64,,3.37,2.03,
5,MALAYSIA,92338.48,77296.71,,1.94,1.37,
6,U K,72493.75,51229.77,,1.46,0.85,
7,AUSTRALIA,22497.3,24959.41,,0.44,0.42,
8,CANADA,13689.63,12593.27,,0.27,0.22,
9,QATAR,8402.92,3378.57,,0.16,0.05,
10,FRANCE,4682.3,5319.84,,0.1,0.09,
11,NEW ZEALAND,4596.72,3306.62,,0.09,0.05,
12,SWEDEN,3808.09,2988.2,,0.08,0.06,
13,SAUDI ARAB,3756.96,14.22,,0.07,,
14,SWITZERLAND,3021.14,2063.17,,0.06,0.03,
15,ITALY,2747.84,1782.46,,0.07,0.05,
16,FIJI IS,2458.44,2279.37,,0.05,0.04,
17,THAILAND,1998.76,2605.68,,0.04,0.06,
18,SPAIN,1941.14,1363.28,,0.04,0.02,
19,NETHERLAND,1539.2,1257.87,,0.03,0.02,
20,OMAN,1530.97,2684.82,,0.03,0.04,
21,TURKEY,1337.2,2008.83,,0.03,0.04,
22,GERMANY,1015.02,652.72,,0.02,0.01,
23,JORDAN,818.2,1114.53,,0.03,0.02,
24,JAPAN,557.44,943.46,,0,0.01,
25,BELGIUM,493.61,278.9,,0.01,0,
26,DENMARK,410.86,266.97,,0.01,0.01,
27,BAHARAIN IS,380.48,191.7,,0.01,0,
28,IRELAND,261.13,103.02,,0.01,0,
29,KOREA RP,240.07,436.83,,0.01,0.01,
30,MAURITIUS,138.24,100.32,,0,0,
31,GREECE,86.83,38.3,,,0,
32,LITHUANIA,86.35,49.27,,0,0,
33,SOUTH AFRICA,55.34,10.03,,0,,
34,MEXICO,52.39,90.35,,,0,
35,NORWAY,38.78,33.99,,,0,
36,CZECH REPUBLIC,28.45,18.8,,,,
37,AUSTRIA,25.57,20.59,,,,
38,POLAND,21.72,90.63,,,0,
39,SLOVAK REP,18.22,10.26,,,,
40,MALDIVES,14.36,1.97,,,,
41,KUWAIT,13.81,9.35,,,,
42,FINLAND,12.04,15.02,,,0,
43,SLOVENIA,11.37,9.73,,,,
44,ISRAEL,9.95,103.19,,,0,
45,BERMUDA,7.65,13.58,,,,
46,GUADELOUPE,5.93,,,,,
47,VIRGIN IS US,4.69,21.03,,,,
48,MADAGASCAR,3.99,14.8,,,,
49,TAIWAN,3.71,7.6,,,,
50,ROMANIA,3.69,153.68,,,0,
51,NETHERLANDANTIL,2.67,7.63,,,,
52,ESTONIA,2.56,7.44,,,,
53,INDONESIA,1.32,0.17,,,,
54,LATVIA,0.53,,,,,
55,CHILE,0.44,0.94,,,,
56,CHINA P RP,0.42,1.58,,,,
57,CAYMAN IS,0.16,0.23,,,,
58,HUNGARY,0.14,,,,,
59,BHUTAN,0.02,,,,,
60,ARUBA,,1.58,,,,
61,EGYPT A RP,,0.63,,,,
62,GUATEMALA,,0.12,,,,
63,GIBRALTAR,,0.42,,,,
64,LUXEMBOURG,,0.05,,,,
65,PUERTO RICO,,10.73,,,,
66,REUNION,,1.23,,,,
67,PANAMA REPUBLIC,,0.75,,,,
68,UNSPECIFIED,,1956.17,,,0.03,
69,VIETNAM SOC REP,,0.39,,,,
,Total,4668803.54,2450257.07,,,,
India's Total,,361895227.05,237594606.92,,,,
%Share,,1.2901,1.0313,,,,
